user_id, user_name, add_point, users_point, reason, time
1209821557388476426,SCAICT_ChiuChiuCircle,2,2,comment,2024-02-24 15:44:34.458860
803197174589423626,chiuchiucircle,5,4,daily_charge,2024-02-24 15:44:34.608887
1209821557388476426,SCAICT_ChiuChiuCircle,2,2,comment,2024-02-24 15:45:15.672505
803197174589423626,chiuchiucircle,5,0,daily_charge,2024-02-24 15:45:15.764149
1209821557388476426,SCAICT_ChiuChiuCircle,2,2,comment,2024-02-24 15:45:21.709042
803197174589423626,chiuchiucircle,2,7,comment,2024-02-24 15:45:28.431868
803197174589423626,chiuchiucircle,2,9,comment,2024-02-24 15:45:36.381039
685630394431045863,elvismao,2,2,comment,2024-02-24 16:35:15.064477
868424334409097249,SCAICT - EM,2,2,comment,2024-02-24 16:53:46.434598
685630394431045863,elvismao,5,2,daily_charge,2024-02-24 19:10:59.526844
685630394431045863,elvismao,5,2,daily_charge,2024-02-24 19:11:07.371927
685630394431045863,elvismao,5,100,daily_charge,2024-02-24 19:13:45.348083
685630394431045863,elvismao,5,100,daily_charge,2024-02-24 19:18:31.216832
685630394431045863,elvismao,5,100,daily_charge,2024-02-24 19:41:43.202501
685630394431045863,elvismao,5,105,daily_charge,2024-02-24 19:50:58.606923
685630394431045863,elvismao,5,110,daily_charge,2024-02-24 19:51:42.714299
685630394431045863,elvismao,5,115,daily_charge,2024-02-24 20:02:49.606698
685630394431045863,elvismao,5,120,daily_charge,2024-02-24 20:11:27.584489
685630394431045863,elvismao,5,125,charge,2024-02-24 20:13:44.499295
685630394431045863,elvismao,20,1220,ctf,2024-02-24 22:22:20.147852
685630394431045863,elvismao,20,1242,ctf,2024-02-24 22:30:51.844977
685630394431045863,elvismao,20,1262,ctf,2024-02-24 22:31:28.456308
595471957189984275,osga_,20,20,ctf,2024-02-24 22:32:09.365608
539412061294166037,chao28661,20,40,ctf,2024-02-24 22:32:45.621896
898141506588770334,iach526526,5,0,charge,2024-02-25 16:16:59.413084
898141506588770334,iach526526,5,48763,charge,2024-03-01 21:56:26.336539
898141506588770334,iach526526,5,48763,charge,2024-03-01 21:56:52.178195
898141506588770334,iach526526,5,48763,charge,2024-03-01 21:57:00.826860
898141506588770334,iach526526,5,48763,charge,2024-03-01 22:02:09.037172
898141506588770334,iach526526,5,48763,charge,2024-03-01 22:04:49.634298
898141506588770334,iach526526,5,48763,charge,2024-03-01 22:07:04.109169
898141506588770334,iach526526,5,48768,charge,2024-03-01 22:07:07.615139
898141506588770334,iach526526,5,48773,charge,2024-03-01 22:07:57.149053
898141506588770334,iach526526,5,48778,charge,2024-03-01 22:22:22.273599
898141506588770334,iach526526,5,48778,charge,2024-03-01 22:22:26.927011
898141506588770334,iach526526,5,48778,charge,2024-03-01 22:23:44.663946
898141506588770334,iach526526,5,48778,charge,2024-03-01 22:27:02.384552
898141506588770334,iach526526,5,48778,charge,2024-03-01 22:29:10.926964
898141506588770334,iach526526,5,48778,charge,2024-03-01 22:30:37.965500
898141506588770334,iach526526,5,48778,charge,2024-03-02 11:09:42.023190
898141506588770334,iach526526,5,48778,charge,2024-03-02 11:10:47.412980
898141506588770334,iach526526,5,48778,charge,2024-03-02 11:13:41.354505
898141506588770334,iach526526,5,48778,charge,2024-03-02 11:16:18.443905
898141506588770334,iach526526,5,48778,charge,2024-03-02 11:19:25.359791
898141506588770334,iach526526,5,48778,charge,2024-03-02 11:22:04.451067
898141506588770334,iach526526,5,48778,charge,2024-03-02 11:23:50.813124
898141506588770334,iach526526,5,48778,charge,2024-03-02 11:25:41.955843
898141506588770334,iach526526,5,48778,charge,2024-03-02 11:28:23.927185
898141506588770334,iach526526,5,48783,charge,2024-03-02 11:30:11.951485
898141506588770334,iach526526,5,48788,charge,2024-03-02 11:30:17.084952
898141506588770334,iach526526,5,48793,charge,2024-03-02 11:44:38.399624
