868424334409097249,SCAICT - EM,2,10,comment,2024-02-24 22:16:32.843888
685630394431045863,elvismao,2,1222,comment,2024-02-24 22:27:41.269828
1203340226672459857,SCAICT BOT,2,2,comment,2024-02-24 22:34:08.719024
1204265627016101969,SCAICT-Each,2,2,comment,2024-02-25 16:16:58.969087
898141506588770334,iach526526,2,7,comment,2024-02-25 16:18:23.718049
1204265627016101969,SCAICT-Each,2,4,comment,2024-02-25 16:25:32.930050
1204265627016101969,SCAICT-Each,2,6,comment,2024-02-25 17:34:34.543420
1204265627016101969,SCAICT-Each,2,8,comment,2024-03-01 21:02:08.866059
1204265627016101969,SCAICT-Each,2,10,comment,2024-03-01 21:10:45.468548
1204265627016101969,SCAICT-Each,2,12,comment,2024-03-01 22:02:08.376415
1204265627016101969,SCAICT-Each,2,14,comment,2024-03-02 11:09:41.506651
1204265627016101969,SCAICT-Each,2,16,comment,2024-03-02 11:19:24.759211
898141506588770334,898141506588770334,2,48798,comment,2024-03-02 18:24:16.286641
898141506588770334,898141506588770334,2,48798,comment,2024-03-02 18:25:31.976170
898141506588770334,898141506588770334,2,48798,comment,2024-03-02 18:28:14.061521
898141506588770334,898141506588770334,2,48804,comment,2024-03-02 18:30:16.549917
898141506588770334,898141506588770334,2,48804,comment,2024-03-02 18:30:20.468158
